pdb_id,consensus_name,best_hit_name,motif1,motif2,motif3
3uh4,Tankyrase-1,Tankyrase-1,PS51059,,
3unt,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3uvi,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
3uw4,Baculoviral IAP repeat-containing protein 2,INHIBITOR OF APOPTOSIS PROTEIN (2MIHB/C-IAP-1),PS50143,PS01282,
3uw5,Baculoviral IAP repeat-containing protein 7,Baculoviral IAP repeat-containing protein 7,PS50143,PS01282,
3v43,Histone acetyltransferase KAT6A,Histone acetyltransferase KAT6A,ZF_PHD_2,ZF_PHD_1,
3vgl,Glucokinase,Glucokinase,PS01125,,
3vgm,Glucokinase,Glucokinase,PS01125,,
3vpb,lysine biosynthesis enzyme,Putative acetylornithine deacetylase,PS50975,,
3w51,Tankyrase-2,Tankyrase-2,PS51059,,
3w95,2A proteinase,2A proteinase,,,
3wwq,Fanconi anemia-associated protein of 20 kDa,Fanconi anemia-associated protein of 20 kDa,PS50053,PS00299,PS51906
3zme,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
3zvy,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
3zvz,E3 ubiquitin-protein ligase UHRF1,E3 ubiquitin-protein ligase UHRF1,ZF_PHD_2,ZF_PHD_1,ZF_RING_2
4agl,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4agm,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4agn,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4ago,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4agp,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4agq,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
4ayc,E3 ubiquitin-protein ligase RNF8,E3 ubiquitin-protein ligase RNF8,ZF_RING_2,ZF_RING_1,
4bg1,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
4bhg,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
4bs4,Tankyrase-2,Tankyrase-2,PS51059,,
4bu5,Tankyrase-2,Tankyrase-2,PS51059,,
4bu6,Tankyrase-2,Tankyrase-2,PS51059,,
4bu8,Tankyrase-2,Tankyrase-2,PS51059,,
4bu9,Tankyrase-2,Tankyrase-2,PS51059,,
4bua,Tankyrase-2,Tankyrase-2,PS51059,,
4bue,Tankyrase-2,Tankyrase-2,PS51059,,
4bui,Tankyrase-2,Tankyrase-2,PS51059,,
4bus,Tankyrase-2,Tankyrase-2,PS51059,,
4but,Tankyrase-2,Tankyrase-2,PS51059,,
4buu,Tankyrase-2,Tankyrase-2,PS51059,,
4buv,Tankyrase-2,Tankyrase-2,PS51059,,
4buw,Tankyrase-2,Tankyrase-2,PS51059,,
4bux,Tankyrase-2,Tankyrase-2,PS51059,,
4buy,Tankyrase-2,Tankyrase-2,PS51059,,
4c4a,HISTONE-ARGININE METHYLTRANSFERASE CARM1,Protein arginine N-methyltransferase 7,PS51678,,
4c5w,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
4c9z,E3 ubiquitin-protein ligase SIAH1,E3 UBIQUITIN-PROTEIN LIGASE SIAH1,PS51081,,
4ca1,E3 ubiquitin-protein ligase SIAH1,E3 UBIQUITIN-PROTEIN LIGASE SIAH1,PS51081,,
4coi,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,,,
4col,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,,,
4com,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,,,
4cos,Zinc finger MYND domain-containing protein 11,MYND-type zinc finger-containing chromatin reader ZMYND8,ZF_PHD_2,ZF_PHD_1,PS50014; PS50812
4cwd,GAMMA-BUTYROBETAINE DIOXYGENASE,Gamma-butyrobetaine dioxygenase,,,
4d6q,Lysine-specific demethylase 4D,LYSINE-SPECIFIC DEMETHYLASE 4D,PS51183,PS51184,
4d6r,Lysine-specific demethylase 4D,LYSINE-SPECIFIC DEMETHYLASE 4D,PS51183,PS51184,
4d6s,Lysine-specific demethylase 4D,LYSINE-SPECIFIC DEMETHYLASE 4D,PS51183,PS51184,
4db3,"Ubiquitin-like protein SMT3,N-acetyl-D-glucosamine kinase","Ubiquitin-like protein SMT3,N-acetyl-D-glucosamine kinase",PS01125,,
4dvi,Tankyrase-1,Tankyrase-1,PS51059,,
4dxx,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4e2v,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4fkd,Protein kinase C delta type,Protein kinase C delta type,PS00479,PS50081,
4fps,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4fr1,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4fr6,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4fsa,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4fvb,Genome polyprotein,2A proteinase,,,
4fvd,Genome polyprotein,2A proteinase,,,
4g25,"Proteinaceous RNase P 1, chloroplastic/mitochondrial","Pentatricopeptide repeat-containing protein At2g32230, mitochondrial",PS51375,,
4g26,"Proteinaceous RNase P 1, chloroplastic/mitochondrial","Pentatricopeptide repeat-containing protein At2g32230, mitochondrial",PS51375,,
4gcx,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4gel,Mitochondrial cardiolipin hydrolase,Mitochondrial cardiolipin hydrolase,,,
4gg9,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4ggj,Mitochondrial cardiolipin hydrolase,Mitochondrial cardiolipin hydrolase,PS50035,,
4gh1,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4ghr,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4gi4,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4giy,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4gkt,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4gne,Histone-lysine N-methyltransferase NSD3,Histone-lysine N-methyltransferase NSD3,ZF_PHD_2,,
4gnf,Histone-lysine N-methyltransferase NSD3,Histone-lysine N-methyltransferase NSD3,ZF_PHD_2,,
4gng,Histone-lysine N-methyltransferase NSD3,Histone-lysine N-methyltransferase NSD3,ZF_PHD_2,,
4h6e,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4h7z,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4hi8,LIM and senescent cell antigen-like-containing domain protein 1,LIM and senescent cell antigen-like-containing domain protein 1,PS00478,PS50023,PS50088; PS50297
4hi9,LIM and senescent cell antigen-like-containing domain protein 1,LIM and senescent cell antigen-like-containing domain protein 1,PS00478,PS50023,PS50088; PS50297
4hje,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4hkk,Tankyrase-2,Tankyrase-2,PS51059,,
4hlg,Tankyrase-2,Tankyrase-2,PS51059,,
4hlh,Tankyrase-2,Tankyrase-2,PS51059,,
4hlk,Tankyrase-2,Tankyrase-2,PS51059,,
4hlm,Tankyrase-2,Tankyrase-2,PS51059,,
4hon,LYSINE-SPECIFIC DEMETHYLASE 4D,JmjC domain-containing histone demethylation protein 3D,PS51183,PS51184,
4hqv,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4hsh,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4htb,Queuine tRNA-ribosyltransferase,tRNA-guanine transglycosylase,,,
4hvx,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4hy4,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4hy5,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4i1f,E3 ubiquitin-protein ligase parkin,E3 UBIQUITIN-PROTEIN LIGASE PARKIN,PS51873,,
4i1h,E3 ubiquitin-protein ligase parkin,E3 UBIQUITIN-PROTEIN LIGASE PARKIN,PS51873,,
4ibq,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4ibs,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4ibt,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4ibu,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4ibw,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4iby,Cellular tumor antigen p53,Cellular tumor antigen p53,,,
4ibz,Cellular tumor antigen p53,Cellular tumor antigen p53,PS00348,,
4ic3,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,ZF_RING_2,,
4ipp,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4iup,SAWADEE HOMEODOMAIN HOMOLOG 1,SAWADEE HOMEODOMAIN HOMOLOG 1,,,
4ixj,"Acetolactate synthase, mitochondrial",TAIL FIBER PROTEIN,,,
4j1z,Tankyrase-2,Tankyrase-2,PS51059,,
4j21,Tankyrase-2,Tankyrase-2,PS51059,,
4j3m,Tankyrase-2,Tankyrase-2,PS51059,,
4j3y,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4j44,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4j45,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4j46,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4j47,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4k8v,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4k98,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4k99,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4kju,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4kjv,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4kmn,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4kmp,Baculoviral IAP repeat-containing protein 4,Baculoviral IAP repeat-containing protein 4,PS50143,PS01282,
4kwo,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4kzl,Tankyrase-2,Tankyrase-2,PS51059,,
4l0b,Tankyrase-2,Tankyrase-2,PS51059,,
4l0s,Tankyrase-2,Tankyrase-2,PS51059,,
4l0v,Tankyrase-2,Tankyrase-2,PS51059,,
4l10,Tankyrase-2,Tankyrase-2,PS51059,,
4l31,Tankyrase-2,Tankyrase-2,PS51059,,
4l32,Tankyrase-2,Tankyrase-2,PS51059,,
4l34,Tankyrase-2,Tankyrase-2,PS51059,,
4l56,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4l58,Histone-lysine N-methyltransferase ASH1L,Histone-lysine N-methyltransferase MLL5,ZF_PHD_2,ZF_PHD_1,
4l7x,bromodomain PHD finger transcription factor,Death associated transcription factor 1,ZF_PHD_2,ZF_PHD_1,
4lbu,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4leq,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4lev,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4lge,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4lgu,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4ljo,UBIQUITIN,Ubiquitin,ZF_RING_1,PS50053,PS00299; PS51873
4lk9,Histone acetyltransferase KAT6A,Histone acetyltransferase KAT6A,ZF_PHD_2,ZF_PHD_1,PS00322
4lka,Histone acetyltransferase KAT6A,Histone acetyltransferase KAT6A,PS00322,,
4loe,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),,,
4lof,Cellular tumor antigen p53,Cellular tumor antigen p53,,,
4lxl,Lysine-specific demethylase 4C,Lysine-specific demethylase 4B,PS51183,PS51184,
4m7b,Tankyrase-2,Tankyrase-2,PS51059,,
4mg3,Polyprotein,Polyprotein,,,
4mi5,Histone-lysine N-methyltransferase EZH2,Histone-lysine N-methyltransferase EZH2,SET,PS51633,
4mkp,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4msg,Tankyrase-1,Tankyrase-1,PS51059,,
4mt9,Tankyrase-1,Tankyrase-1,PS51059,,
4mu7,Baculoviral IAP repeat-containing protein 2,Baculoviral IAP repeat-containing protein 2,PS50143,PS01282,
4n0n,PP1b,Replicase polyprotein 1ab,PS51657,PS51652,
4n3r,Tankyrase-1,Tankyrase-1,PS51059,,
4n4f,histone acetyltransferase,CREB-binding protein,PS50014,PS00633,PS00047
4n4g,Zinc finger MYND domain-containing protein 11,Zinc finger MYND domain-containing protein 11,PS50014,PS50812,
4n4i,Zinc finger MYND domain-containing protein 11,Zinc finger MYND domain-containing protein 11,PS50014,PS50812,
4n4v,Tankyrase-1,Tankyrase-1,PS51059,,
4nn2,,,PS51805,,
4ns5,Zinc finger MYND domain-containing protein 11,Zinc finger MYND domain-containing protein 11,PS50014,PS50812,
4o6a,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,,,
4pd2,Formamidopyrimidine-DNA glycosylase,Formamidopyrimidine-DNA glycosylase,PS51066,PS51068,
4pml,Tankyrase-2,Tankyrase-2,PS51059,,
4pnl,Tankyrase-2,Tankyrase-2,PS51059,,
4pnn,Tankyrase-2,Tankyrase-2,PS51059,,
4pnq,Tankyrase-2,Tankyrase-2,PS51059,,
4pnr,Tankyrase-2,Tankyrase-2,PS51059,,
4pns,Tankyrase-2,Tankyrase-2,PS51059,,
4pnt,Tankyrase-2,Tankyrase-2,PS51059,,
4ppe,RING finger protein 4,RING finger protein 4,ZF_RING_2,ZF_RING_1,
4ptb,Nuclear autoantigen Sp-100,Nuclear autoantigen Sp-100,,,
4puj,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4puk,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4pul,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4pum,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4pun,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4m,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4o,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4p,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4q,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4r,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q4s,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q6f,Bromodomain adjacent to zinc finger domain protein 2A,Bromodomain adjacent to zinc finger domain protein 2A,,,
4q8m,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8n,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8o,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8p,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8q,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8t,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q8u,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
4q8v,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4q8w,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
4qf2,Bromodomain adjacent to zinc finger domain protein 2A,Bromodomain adjacent to zinc finger domain protein 2A,,,
4qf3,Bromodomain adjacent to zinc finger domain protein 2A,Bromodomain adjacent to zinc finger domain protein 2B,,,
4qpl,Ubiquitin-conjugating enzyme E2 D1,UBIQUITIN-CONJUGATING ENZYME E2 D1,ZF_RING_2,ZF_RING_1,PS50127; PS00183; PS50918
4r2y,Anaphase-promoting complex subunit 11,Anaphase-promoting complex subunit 11,ZF_RING_2,,
4s3o,Polycomb complex protein BMI-1,Polycomb complex protein BMI-1,ZF_RING_2,ZF_RING_1,PS50127; PS00183
4tju,Tankyrase-2,Tankyrase-2,PS51059,,
4tjw,Tankyrase-2,Tankyrase-2,PS51059,,
4tjy,Tankyrase-2,Tankyrase-2,PS51059,,
4tk0,Tankyrase-2,Tankyrase-2,PS51059,,
4tkg,Tankyrase-2,Tankyrase-2,PS51059,,
4tor,Tankyrase-1,Tankyrase-1,PS51059,,
4tos,Tankyrase-1,Tankyrase-1,PS51059,,
4u3e,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE,,,
4u99,NO-binding heme-dependent sensor protein,NO-binding heme-dependent sensor protein,PS52090,,
4u9b,NO-binding heme-dependent sensor protein,NO-binding heme-dependent sensor protein,PS52090,,
4ufy,Tankyrase-2,Tankyrase-2,PS51059,,
4uhg,Tankyrase-2,Tankyrase-2,PS51059,,
4ui3,Tankyrase-2,Tankyrase-2,PS51059,,
4ui5,Tankyrase-2,Tankyrase-2,PS51059,,
4ui6,Tankyrase-2,Tankyrase-2,PS51059,,
4ui7,Tankyrase-2,Tankyrase-2,PS51059,,
4up0,PYGOPUS HOMOLOG 1,"PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN",,,
4up5,PYGOPUS HOMOLOG 1,"PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN",ZF_PHD_2,ZF_PHD_1,
4uvl,Tankyrase-2,Tankyrase-2,PS51059,,
4uvo,Tankyrase-2,Tankyrase-2,PS51059,,
4uvp,Tankyrase-2,Tankyrase-2,PS51059,,
4uvs,Tankyrase-2,Tankyrase-2,PS51059,,
4uvt,Tankyrase-2,Tankyrase-2,PS51059,,
4uvu,Tankyrase-2,Tankyrase-2,PS51059,,
4uvv,Tankyrase-2,Tankyrase-2,PS51059,,
4uvx,Tankyrase-2,Tankyrase-2,PS51059,,
4uvy,Tankyrase-2,Tankyrase-2,PS51059,,
4uvz,Tankyrase-2,Tankyrase-2,PS51059,,
4ux4,Tankyrase-2,Tankyrase-2,PS51059,,
4v2v,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
4v2w,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
4v3l,Ubiquitin-conjugating enzyme E2 D2,Ubiquitin-conjugating enzyme E2 D2,ZF_RING_2,PS50053,PS50127; PS00299
4w5i,Tankyrase-2,Tankyrase-2,PS51059,,
4w6e,Tankyrase-1,Tankyrase-1,PS51059,,
4wh6,"NS3 protease, NS4A protein","NS3 protease, NS4A protein",PS51822,,
4wuy,N-lysine methyltransferase SMYD2,N-lysine methyltransferase SMYD2,SET,ZF_MYND_1,ZF_MYND_2
4wvt,E3 ubiquitin-protein ligase XIAP,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
4xdo,LYSINE-SPECIFIC DEMETHYLASE 4C,LYSINE-SPECIFIC DEMETHYLASE 4C,PS51183,PS51184,
4xgl,Mitochondrial ribonuclease P protein 3,Mitochondrial ribonuclease P protein 3,,,
4xgm,Mitochondrial ribonuclease P protein 3,Mitochondrial ribonuclease P protein 3,,,
4xlg,Structure-specific endonuclease subunit SLX1,Structure-specific endonuclease subunit SLX1,PS50164,,
4y93,Tyrosine-protein kinase BTK,Tyrosine-protein kinase BTK,PS50003,PS51113,PS50011; PS00107; PS00109
4yab,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4yad,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4ybm,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4ybs,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4ybt,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4yc9,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
4yh8,Splicing factor U2AF 59 kDa subunit,Splicing factor U2AF 59 kDa subunit,PS50103,PS50102,
4yxp,ICP27,ICP27,,,
4zdt,Structure-specific endonuclease subunit SLX1,Structure-specific endonuclease subunit SLX1,,,
4zql,Transcription intermediary factor 1-alpha,Transcription intermediary factor 1-alpha,ZF_PHD_2,ZF_PHD_1,PS50014; PS00633
5a3n,LYSINE-SPECIFIC DEMETHYLASE 5B,LYSINE-SPECIFIC DEMETHYLASE 5B,PS51183,PS51184,
5a3t,LYSINE-SPECIFIC DEMETHYLASE 5B,LYSINE-SPECIFIC DEMETHYLASE 5B,PS51183,PS51184,
5a3w,LYSINE-SPECIFIC DEMETHYLASE 5B,LYSINE-SPECIFIC DEMETHYLASE 5B,PS51183,PS51184,
5a7b,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5a7q,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
5ab9,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5aba,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5ads,Tankyrase-2,Tankyrase-2,PS51059,,
5aeh,Tankyrase-2,Tankyrase-2,PS51059,,
5aku,Tankyrase-2,Tankyrase-2,PS51059,,
5al1,Tankyrase-2,Tankyrase-2,PS51059,,
5al2,Tankyrase-2,Tankyrase-2,PS51059,,
5al3,Tankyrase-2,Tankyrase-2,PS51059,,
5al4,Tankyrase-2,Tankyrase-2,PS51059,,
5anq,JmjC domain-containing histone demethylation protein 3A,JmjC domain-containing histone demethylation protein 3A,PS51183,PS51184,
5aoi,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5aoj,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5aok,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5aol,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5aom,CELLULAR TUMOR ANTIGEN P53,CELLULAR TUMOR ANTIGEN P53,,,
5arg,N-lysine methyltransferase SMYD2,N-LYSINE METHYLTRANSFERASE SMYD2,SET,ZF_MYND_1,ZF_MYND_2
5b73,Zinc finger MYND domain-containing protein 11,PROTEIN KINASE C-BINDING PROTEIN 1,ZF_PHD_2,ZF_PHD_1,PS50014; PS50812
5b75,Histone H3.2,Histone H3.2,ZF_PHD_2,ZF_PHD_1,
5b76,Histone H3.2,Histone H3.2,ZF_PHD_2,ZF_PHD_1,
5b77,Histone H3.2,Histone H3.2,ZF_PHD_2,ZF_PHD_1,
5b78,Histone H3.2,Histone H3.2,ZF_PHD_2,ZF_PHD_1,
5b8d,Histone deacetylase 6,Histone deacetylase 6,PS50271,,
5bqk,mRNA export factor,mRNA export factor,,,
5bua,Cellular tumor antigen p53,PROTEIN (P53 TUMOR SUPPRESSOR),PS00348,,
5c1z,E3 ubiquitin-protein ligase parkin,E3 ubiquitin-protein ligase parkin,PS50053,PS51873,
5c5p,Tankyrase-2,Tankyrase-2,PS51059,,
5c5q,Tankyrase-2,Tankyrase-2,PS51059,,
5c5r,Tankyrase-2,Tankyrase-2,PS51059,,
5ccl,Histone-lysine N-methyltransferase SMYD3,Histone-lysine N-methyltransferase SMYD3,SET,ZF_MYND_1,ZF_MYND_2; PS51574
5cyz,Monopolin complex subunit MAM1,Monopolin complex subunit MAM1,PS50011,PS00108,
5d0i,"Ubiquitin,E3 ubiquitin-protein ligase RNF165","Ubiquitin,E3 ubiquitin-protein ligase RNF165",ZF_RING_2,,
5d0m,UBIQUITIN,Ubiquitin,ZF_RING_2,PS50053,PS50127; PS00299
5d1k,E3 ubiquitin-protein ligase RNF25,E3 ubiquitin-protein ligase RNF25,ZF_RING_2,PS50127,PS00183
5d1l,E3 ubiquitin-protein ligase RNF25,E3 ubiquitin-protein ligase RNF25,ZF_RING_2,PS50127,PS00183
5d1m,E3 ubiquitin-protein ligase RNF25,E3 ubiquitin-protein ligase RNF25,ZF_RING_2,PS50127,PS00183
5d9y,Methylcytosine dioxygenase TET2,Methylcytosine dioxygenase TET2,,,
5dag,PHD finger protein 14,Protein AF-10,ZF_PHD_2,ZF_PHD_1,PS51805
5deu,Methylcytosine dioxygenase TET2,Methylcytosine dioxygenase TET2,,,
5din,E3 ubiquitin-protein ligase COP1,E3 ubiquitin-protein ligase LNX,ZF_RING_2,ZF_RING_1,
5dka,E3 ubiquitin-protein ligase RNF125,E3 ubiquitin-protein ligase RNF125,ZF_RING_2,ZF_RING_1,PS51803
5doc,Virion egress protein UL31 homolog,Virion egress protein UL31 homolog,,,
5egr,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
5eiu,Tripartite motif-containing protein 5,"Tripartite motif-containing protein 5,Serine--tRNA ligase,Tripartite motif-containing protein 5",PS50119,,
5elh,,,PS50103,,
5eqr,"Non-structural protein 4A,Serine protease NS3","Non-structural protein 4A,Serine protease NS3",PS51822,,
5eqs,NS3 protease,NS3 protease,PS51822,,
5f5a,Lysine-specific demethylase 4D,Lysine-specific demethylase 4D,PS51183,PS51184,
5f5c,Lysine-specific demethylase 4D,Lysine-specific demethylase 4D,PS51183,PS51184,
5f7r,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE/N-ACETYLMANNOSAMINE KINASE,Lmo0178 protein,,,
5fjk,Lysine-specific demethylase 4C,LYSINE-SPECIFIC DEMETHYLASE 4C,PS51183,PS51184,
